1;1;483;15;69;42;184,89;0;12;11;70;3;572;;;;
1;2;476;3;73;50;964,76;1;12;7;82;7;795;;;;
1;3;476;8;61;39;492,10;0;10;10;58;5;720;;;;
1;4;477;12;67;54;263,99;2;14;6;75;5;825;;;;
1;5;475;10;98;73;1332,47;1;16;7;76;2;712;;;;
1;6;471;9;73;51;58,35;0;7;1;81;9;714;;;;
1;7;464;3;58;38;85,06;0;7;5;60;3;763;;;;
1;8;459;4;76;53;218,50;0;13;9;60;7;678;;;;
1;9;459;10;65;39;0,00;0;0;1;57;4;629;;;;
2;1;561;12;54;31;263,87;6;4;6;54;6;548;;;;
2;2;561;10;52;31;146,14;0;0;7;62;5;599;;;;
2;3;551;12;53;32;300,94;5;3;3;70;7;672;;;;
2;4;543;19;36;24;82,24;0;1;7;65;5;739;;;;
2;5;538;20;76;43;68,79;0;8;6;60;8;684;;;;
2;6;534;21;60;46;293,38;0;2;3;70;9;717;;;;
2;7;531;7;53;40;103,56;1;2;2;67;6;665;;;;
2;8;531;24;49;32;39,48;1;10;1;57;10;734;;;;
2;9;531;7;50;35;0,00;0;0;3;61;5;630;;;;
3;1;574;14;49;36;16,10;1;0;6;62;15;640;;;;
3;2;565;20;51;38;3683,95;0;9;7;106;16;672;;;;
3;3;563;14;55;44;2963,14;0;6;9;129;10;784;;;;
3;4;559;20;64;50;731,96;0;2;7;145;10;686;;;;
3;5;556;18;67;43;11,86;5;4;3;136;7;723;;;;
3;6;554;18;45;28;0,37;3;14;4;126;13;739;;;;
3;7;549;19;45;30;74,81;0;11;6;87;17;767;;;;
3;8;545;14;78;53;15,02;7;10;2;119;22;657;;;;
3;9;545;12;56;36;0,00;0;0;4;82;12;887;;;;
4;1;548;7;61;26;461,07;5;24;13;60;14;716;;;;
4;2;542;18;40;23;182,46;2;11;13;92;16;754;;;;
4;3;536;15;60;28;82114,13;11;30;13;100;16;742;;;;
4;4;532;17;70;26;759,47;12;26;6;107;11;882;;;;
4;5;534;31;69;37;5733,43;3;17;3;91;13;967;;;;
4;6;533;17;73;45;1306,52;0;20;8;106;15;955;;;;
4;7;526;13;59;38;972,12;1;11;9;70;9;884;;;;
4;8;522;17;69;39;3170,20;5;22;1;87;13;1002;;;;
4;9;522;10;54;26;0,00;0;0;1;87;17;912;;;;
5;1;586;20;53;29;86,05;1;19;7;68;13;401;;;;
5;2;575;4;44;32;1043,13;7;7;10;104;11;471;;;;
5;3;570;15;59;36;190,02;13;19;8;123;12;472;;;;
5;4;566;13;65;36;48,21;12;15;1;102;14;461;;;;
5;5;563;12;68;35;80,01;9;19;4;94;15;396;;;;
5;6;560;5;53;33;142,16;12;20;5;96;7;447;;;;
5;7;550;12;79;46;1148,38;18;20;8;100;19;390;;;;
