0.2;0;1;0.783891283;0.353846154;0.310344828;0.192982456;0.010098682;0;0.174603175;0.272727273;0.27804878;0.804878049;0.49851338
0.4;0;0.272727273;0.748094133;0.261538462;0.528735632;0.385964912;0.003644307;0.465753425;0.841269841;0.522727273;0.834146341;0.487804878;0.202180377
0.4;0;0.363636364;0.742790852;0.538461538;0.643678161;0.51754386;0.008155783;0.602739726;0.666666667;0.204545455;0.692682927;0.463414634;0.274529237
0.4;0;0.454545455;0.950613192;0.261538462;0.563218391;0.394736842;0;0.561643836;0.920634921;0.340909091;0.887804878;0.365853659;0.267591675
0.4;0;0.727272727;0.750745774;0.384615385;0.316091954;0.473684211;0.005455483;0.547945205;0.746031746;0.431818182;0.809756098;0.390243902;0.212091179
0.44;0;0.090909091;0.551872721;0.307692308;0.333333333;0.429824561;0;0.287671233;0.492063492;0.159090909;0.565853659;0.390243902;0.167492567
0.44;0;0.636363636;0.533311236;0.323076923;0.229885057;0.210526316;4.72E-04;0.328767123;0.492063492;0.363636364;0.590243902;0.487804878;0.223984143
0.44;0;0.727272727;0.538614518;0.261538462;0.293103448;0.192982456;9.00E-04;0.260273973;0.317460317;0.363636364;0.551219512;0.414634146;0.189296333
0.48;0;0.090909091;0.600928074;0.215384615;0.287356322;0.192982456;0.006739772;0.136986301;0.412698413;0.568181818;0.770731707;0.414634146;0.098116947
0.48;0;0.454545455;0.759032151;0.276923077;0.16091954;0.157894737;0;0.02739726;0.063492063;0.181818182;0.317073171;0.585365854;0.111992071
0.48;0;0.909090909;0.58634405;0.169230769;0.270114943;0.192982456;0;0.04109589;0.253968254;0.113636364;0.36097561;0.634146341;0.10604559
0.48;0;1;0.58369241;0.184615385;0.126436782;0.192982456;0.018265442;0.493150685;0.523809524;0.159090909;0.317073171;0.512195122;0.111000991
0.52;0;0;1;0.353846154;0.609195402;0.51754386;0.007112984;0.479452055;0.587301587;0.636363636;0.92195122;0.56097561;0.364717542
0.52;0;0.090909091;1;0.415384615;0.718390805;0.701754386;8.56E-04;0.630136986;0.80952381;0.431818182;1;0.390243902;0.386521308
0.52;0;0.272727273;0.982764335;0.246153846;0.442528736;0.763157895;3.73E-04;0.945205479;0.666666667;0.636363636;0.951219512;0.512195122;0.407333994
0.52;0;0.363636364;0.978786874;0.615384615;0.82183908;0.684210526;0.001997783;1;1;0.340909091;0.8;0.682926829;0.561942517
0.52;0;1;0.972157773;0.461538462;0.568965517;0.447368421;8.01E-04;0.767123288;0.666666667;0.431818182;0.8;0.707317073;0.579781962
0.56;0;0.363636364;0.35830295;0.430769231;0.390804598;0.105263158;0.010142589;0.02739726;0.26984127;0.045454545;0.23902439;0.243902439;0.089197225
0.56;0;0.454545455;0.466025853;0.215384615;0.235632184;0.114035088;2.09E-04;0.04109589;0.111111111;0.022727273;0.317073171;0.317073171;0.084241824
